fid,date,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDWI,class_eng,class_code,type_eng
j24_156,11/1/2023,1150.1164183327044,1137.0281969068276,1411.6526782346282,1538.9770369671817,1764.7723972085996,1960.5776122218028,1902.5287155790265,2145.314503960769,2780.4206431535267,1981.8729253112028,1539.0621935118822,-1854.787722,Arboricult,6,Almond_tr
j24_268,11/1/2023,972.7982295911197,860.7587934991337,823.0738607,1081.3013441993348,1898.8924640532057,2285.821648,2237.599363027493,2578.7875509343826,1924.4180132078125,1127.2655613320221,4683.780807,828.6250761088473,Arboricult,6,Almond_tr
j24_307,11/1/2023,1296.0018352365419,1263.884584013051,1620.830342577488,1774.900489396412,2071.91925,2351.4504486133774,2373.774061990213,2742.129078303426,3391.507544861338,2221.800367047309,1895.6639477977162,-1707.215538,Arboricult,6,Almond_tr
j24_371,11/1/2023,1198.9909946236564,1199.7225806451613,1578.6489247311824,1686.1547043010755,1913.0124999999998,2112.524865591398,2078.841801075269,2306.327553763441,3056.8560483870965,2147.9083333333333,1408.2018817204303,-1878.086828,Arboricult,6,Almond_tr
j24_028,11/1/2023,962.8471744226642,835.3915407252231,631.6666167888673,900.2086388348544,2156.3044042096853,2828.806723527356,2825.5314978303154,3183.856850715745,1342.0166591849963,687.3035562870963,6402.328295675592,3491.5473090927208,Arboricult,6,Apple_tr
j24_036,11/1/2023,1069.2637697516934,965.3191874,1001.7287246049664,1273.762810383747,2063.1609480812635,2495.530135440181,2560.4582957110606,2964.379740406319,2293.0938487584654,1250.5557562076747,4401.691704288937,660.8045146726861,Arboricult,6,Apple_tr
j24_130,11/1/2023,1141.5336086116931,1034.042771,1131.5249804839966,1357.1632359587495,2049.1882164427466,2459.203171864086,2459.7131969267443,2890.736061465141,2698.602202226879,1556.0963063396198,3647.463207198325,-400.7940959,Arboricult,6,Apple_tr
j24_208,11/1/2023,1041.7787150408342,917.3040516620486,901.1678772,1120.4307774942934,1933.8936850714751,2390.296251083414,2365.575362867293,2791.662231282883,2072.2096878547795,1100.566048561349,4517.9964964537285,711.8189386818366,Arboricult,6,Apple_tr
j24_213,11/1/2023,1091.4004772382161,1014.4969475347854,1163.0314543369793,1435.2502401685833,2122.5303542099227,2573.7362174222935,2619.7249372462725,3104.0982057082647,2535.472775729028,1380.2049955065233,3887.226626173727,105.98075552387739,Arboricult,6,Apple_tr
j24_218,11/1/2023,1129.8746040524911,1023.5500779325253,1079.2444064558294,1260.349363970033,1781.3237216551863,2108.1072452109206,2103.9834833324953,2433.851777364372,2444.7764342098644,1481.585750917593,3246.1088792800024,-730.1968425,Arboricult,6,Apple_tr
j24_312,11/1/2023,1213.884877384196,1183.805858310627,1319.8787465940054,1596.039509536785,2024.1284059945506,2304.6147820163483,2268.4369891008178,2610.896798365123,2610.9039509536783,1686.1648501362397,2660.615463215259,-698.476158,Arboricult,6,Apple_tr
j24_320,11/1/2023,1041.854950697241,927.2144037964104,983.8672229029314,1226.6715677694156,2063.262267343487,2562.3418519166826,2562.446603263513,3053.224886710621,2113.6437365073825,1112.768033918743,4499.763541241226,1058.070346383492,Arboricult,6,Apple_tr
j24_009,11/1/2023,1034.264536,890.9056153870449,932.4567792060132,954.5135963111518,1046.0927423175317,1159.901730726717,1112.377412121404,1273.9657170830312,2219.9018254745297,1609.6771310362249,892.6204086788995,-3114.618845,Arboricult,6,Citrus
j24_016,11/1/2023,1143.6470354014327,1074.2723883298345,1108.5850285962497,1334.5349037138922,2000.0092847317746,2358.6132176210813,2334.5515546948527,2699.992597553029,2357.1314703540147,1371.0236914500842,3631.108756244119,89.32613299066098,Arboricult,6,Citrus
j24_018,11/1/2023,1084.7663398692814,999.8366013071898,996.4183006535949,1287.3071895424837,2118.8267973856205,2624.9624183006536,2682.457516339869,2997.658496732026,2121.0718954248364,1246.2271241830067,4645.957516,1267.1781045751636,Arboricult,6,Citrus
